image_name,type,cellprob_threshold,channel_axis,channel_nuclei,channel_segment,diameter,do_3D,flow_threshold,interp,invert,max_size_fraction,min_size,model_name,niter,norm3D,normalize,percentile_max,percentile_min,sharpen_radius,smooth_radius,stitch_threshold,tile_norm_blocksize,tile_norm_smooth3D,tile_overlap,duration,are,precision,recall,f1,jaccard,jaccard_cellpose
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,6.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,130.7529845237732,0.38201102212894256,0.5411466231694873,0.7202661514062604,0.6179889778710574,0.6857071103596928,0.3392330931661189
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,7.5,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,129.3859097957611,0.4589421130632182,0.49864719678711955,0.5913533763640256,0.5410578869367819,0.6486525730499401,0.35092902793905884
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,9.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,136.68364357948303,0.5397506503347398,0.4650645317435508,0.45553285658232345,0.4602493496652602,0.6001236179266389,0.3567706204417354
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,10.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,143.70618152618408,0.5925292396291932,0.44475061703725244,0.37595729312946213,0.40747076037080676,0.5615109497363111,0.35544569498498185
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,15.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,107.14506268501282,0.7317645794679433,0.5263493146168093,0.17997724837432344,0.2682354205320568,0.3416547629352845,0.2843194343681189
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,20.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,70.19251608848572,0.7701044068905095,0.8719488081891269,0.13240219321963737,0.22989559310949054,0.06462228796690662,0.056758067707631074
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,25.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,40.580843925476074,0.7739854399372079,0.9991083008708251,0.12741945769483712,0.22601456006279205,0.004896902995463404,0.0005286916914067265
P013T_60xOil_Hoechst_SiRActin_C_004_cropped_isotropic,Nuclei,30.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,36.491971015930176,0.7739957788125778,1.0,0.12739839851180368,0.2260042211874223,0.0,0.0
20240305_P013T_A001a_cropped_isotropic,Nuclei,0.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,7.937352657318115,0.06111365806359215,0.9027035446274997,0.978090866826909,0.9388863419364081,0.6822593833327927,0.6182618308692124
20240305_P013T_A001a_cropped_isotropic,Nuclei,1.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,8.085991382598877,0.07684347101777145,0.8829834612335744,0.9671593439309968,0.9231565289822286,0.6982246896744478,0.6381498622270951
20240305_P013T_A001a_cropped_isotropic,Nuclei,2.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,7.998124361038208,0.09579025679760611,0.8617827889671759,0.9510305062551598,0.9042097432023939,0.7122630754299883,0.6569339171900658
20240305_P013T_A001a_cropped_isotropic,Nuclei,3.0,,0,0,30.0,True,0.5,False,False,0.5,15,cyto3,100,False,True,99.0,0.0,0,1.0,0.75,0,1,0.0,7.903954029083252,0.11899169702370094,0.8384823234725723,0.9280783983639043,0.8810083029762991,0.7251335772235098,0.6751619170200978
